dataset,run,method,accuracy,inference_time,avg_work_units,speedup,accuracy_drop,energy_reduction,worst_case_latency,lazy_rf_threshold,lazy_gbm_threshold
Credit Card,5,LazyRF[t=0.970],0.999475,0.20906376838684082,10.03425,0.13279057382050163,-2.5000000000052758e-05,0.8996575,0.02776169776916504,0.97,
Credit Card,5,LazyRF[t=0.990],0.999475,0.19584321975708008,10.0425,0.14175470462342316,-2.5000000000052758e-05,0.899575,0.02776169776916504,0.99,
Credit Card,5,LazyGBM[s=2.00],0.9985,0.06510186195373535,9.98625,0.26812716758771976,0.0,0.9001375,0.017455577850341797,,2.0
Credit Card,5,LazyGBM[s=4.00],0.9985,0.06854963302612305,9.98625,0.25464144853539605,0.0,0.9001375,0.017455577850341797,,4.0
MNIST,6,LazyRF[t=0.900],0.9679,0.5384914875030518,15.416,0.07432490169782391,0.00019999999999997797,0.84584,0.0400233268737793,0.9,
MNIST,6,LazyRF[t=0.970],0.9682,0.5678586959838867,18.971,0.0704811375732018,-9.999999999998899e-05,0.81029,0.0400233268737793,0.97,
MNIST,6,LazyRF[t=0.990],0.9681,0.5932173728942871,22.231,0.06746823121262761,0.0,0.77769,0.0400233268737793,0.99,
MNIST,6,LazyGBM[s=2.00],0.9418,2.229450225830078,81.0,0.07185077262390985,0.0040000000000000036,0.18999999999999995,0.1601877212524414,,2.0
MNIST,6,LazyGBM[s=4.00],0.9418,2.2592456340789795,81.0,0.07090318947003064,0.0040000000000000036,0.18999999999999995,0.1601877212524414,,4.0
Covertype,6,LazyRF[t=0.900],0.9277,1.5428099632263184,16.3105,0.038803501275070644,0.0006500000000000394,0.836895,0.05986642837524414,0.9,
Covertype,6,LazyRF[t=0.970],0.92815,1.7979235649108887,21.05175,0.03329753808427965,0.00019999999999997797,0.7894825,0.05986642837524414,0.97,
Covertype,6,LazyRF[t=0.990],0.928325,2.057487726211548,25.17075,0.029096858082102,2.5000000000052758e-05,0.7482925,0.05986642837524414,0.99,
Covertype,6,LazyGBM[s=2.00],0.7683,0.8391339778900146,81.0,0.28169473485921487,0.0038249999999999673,0.18999999999999995,0.23637962341308594,,2.0
Covertype,6,LazyGBM[s=4.00],0.7683,0.8666107654571533,81.0,0.2727633129371423,0.0038249999999999673,0.18999999999999995,0.23637962341308594,,4.0
Higgs,6,LazyRF[t=0.900],0.719525,0.8896839618682861,33.29425,0.06591533669828398,0.002475000000000005,0.6670575000000001,0.05864381790161133,0.9,
Higgs,6,LazyRF[t=0.970],0.721775,1.267754316329956,48.7935,0.04625803055546309,0.0002249999999999197,0.512065,0.05864381790161133,0.97,
Higgs,6,LazyRF[t=0.990],0.721925,1.4896628856658936,56.79475,0.03936717391961939,7.499999999993623e-05,0.43205249999999995,0.05864381790161133,0.99,
Higgs,6,LazyGBM[s=2.00],0.712825,0.14364075660705566,71.362075,0.3121567273554168,0.0,0.28637925,0.04483842849731445,,2.0
Higgs,6,LazyGBM[s=4.00],0.712825,0.15349102020263672,80.45115,0.2921241153920235,0.0,0.19548850000000006,0.04483842849731445,,4.0
Credit Card,6,LazyRF[t=0.900],0.99955,0.20305204391479492,10.01525,0.13250327007662666,0.0,0.8998475,0.026905059814453125,0.9,
Credit Card,6,LazyRF[t=0.970],0.99955,0.18763494491577148,10.0305,0.1433904533429564,0.0,0.899695,0.026905059814453125,0.97,
Credit Card,6,LazyRF[t=0.990],0.99955,0.18911004066467285,10.03675,0.14227197942472436,0.0,0.8996325000000001,0.026905059814453125,0.99,
Credit Card,6,LazyGBM[s=2.00],0.998775,0.0655512809753418,10.00315,0.26551781830349674,0.0,0.8999685,0.017405033111572266,,2.0
Credit Card,6,LazyGBM[s=4.00],0.998775,0.06963133811950684,10.019125,0.2499597678519457,0.0,0.89980875,0.017405033111572266,,4.0
MNIST,7,LazyRF[t=0.900],0.9697,0.5353853702545166,15.341,0.0739932729744666,0.0008000000000000229,0.84659,0.03961491584777832,0.9,
MNIST,7,LazyRF[t=0.970],0.9707,0.5749197006225586,18.905,0.06890512849860744,-0.00019999999999997797,0.81095,0.03961491584777832,0.97,
